"Playlist;URI"
"Turkey;37i9dQZEVXbIVYVBNw9D5K"
"Turkey70s;37i9dQZF1DXaAWn8mryoAL "
"Turkey80s;37i9dQZF1DX4io1yPyoLtv "
"Turkey90s;37i9dQZF1DXb7MJRXLczzR"
"Turkey2000s;37i9dQZF1DWYteTcNVQZNq "
"Turkey2010s;37i9dQZF1DXaE9T4Nls8eC"
"Global;37i9dQZEVXbMDoHDwVN2tF"
"Argentina;37i9dQZEVXbMMy2roB9myp"
"Australia;37i9dQZEVXbJPcfkRz0wJ0"
"Brazil;37i9dQZEVXbMXbN3EUUhlg"
"Canada;37i9dQZEVXbKj23U1GF4IR"
"France;37i9dQZEVXbIPWwFssbupI"
"Germany;37i9dQZEVXbJiZcmkrIHGU"
"Greece;37i9dQZEVXbJqdarpmTJDL"
"Japan;37i9dQZEVXbKXQ4mDTEBXq"
"UnitedKingdom;37i9dQZEVXbLnolsZ8PSNw"
"UnitedStates;37i9dQZEVXbLRQDuF5jeBp"
