"country"	"danceability"	"energy"	"loudness"	"speechiness"	"acousticness"	"instrumentalness"	"liveness"	"valence"	"tempo"	"track.duration_ms"
"1"	"Turkey"	0.71565306122449	0.595877551020408	-7.7520612244898	0.126879591836735	0.274904693877551	0.0666696630612245	0.131361224489796	0.476979591836735	129.63706122449	225981.244897959
"2"	"Turkey70s"	0.49228	0.55136	-9.34022	0.064436	0.577058	0.03271455	0.233772	0.607756	116.08972	209866.26
"3"	"Turkey80s"	0.4656	0.5124	-11.11606	0.06375	0.520032	0.0103501684	0.227506	0.52508	124.69188	252348.3
"4"	"Turkey90s"	0.63922	0.60472	-10.89284	0.073008	0.362872	0.000115867	0.139604	0.67444	115.3986	253878.28
"5"	"Turkey2000s"	0.6308	0.69464	-6.86916	0.059	0.22551178	0.0008616764	0.170704	0.589026	110.6401	255514.92
"6"	"Turkey2010s"	0.64196	0.7445	-6.42046	0.060748	0.23371222	0.0005262398	0.168118	0.6125	123.12926	245545.74
"7"	"Global"	0.66806	0.582	-6.6229	0.097972	0.2767038	0.0159717256	0.151964	0.508822	119.38326	194661.04
"8"	"Argentina"	0.74636	0.71406	-4.575	0.14977	0.2297162	0.0001927886	0.144188	0.67424	126.8885	222843.86
"9"	"Australia"	0.6699	0.57354	-6.70294	0.08358	0.2592704	0.0226419334	0.16919	0.488402	113.76666	191285.66
"10"	"Brazil"	0.68656	0.74328	-4.55368	0.133488	0.36039	3.42082e-05	0.422732	0.66554	133.59546	174743.42
"11"	"Canada"	0.6584	0.56632	-6.80256	0.101016	0.2975398	0.0158313332	0.179252	0.505522	125.22918	185407.7
"12"	"France"	0.79064	0.68126	-6.70802	0.133754	0.30893486	0.0150354402	0.125586	0.61084	128.27758	205812.48
"13"	"Germany"	0.6926	0.66968	-6.3306	0.151858	0.1808642	0.0136772888	0.17274	0.50048	135.02296	186405.56
"14"	"Greece"	0.68208	0.618	-7.32492	0.142046	0.2701658	0.037858152	0.148228	0.49231	119.81706	196388.3
"15"	"Japan"	0.5421	0.76092	-4.08484	0.055736	0.1643132	0.0027969786	0.20255	0.55998	124.00724	263898.84
"16"	"UnitedKingdom"	0.64824	0.59782	-7.22922	0.083766	0.3173354	0.0159267638	0.179344	0.58201	127.62618	200175.14
"17"	"UnitedStates"	0.68716	0.55902	-6.83674	0.139286	0.2531598	0.0159239138	0.177256	0.486542	123.18668	184077.26
