"country"	"danceability"	"energy"	"loudness"	"speechiness"	"acousticness"	"instrumentalness"	"liveness"	"valence"	"tempo"	"track.duration_ms"
"1"	"Turkey"	0.801	0.688	-6.62	0.113	0.278	0.00888	0.15	0.41	158.003	154251
"2"	"Turkey"	0.743	0.68	-4.344	0.103	0.113	0.123	0.183	0.694	180.059	196583
"3"	"Turkey"	0.628	0.725	-7.387	0.11	0.0266	0	0.0549	0.458	173.952	269002
"4"	"Turkey"	0.81	0.631	-7.855	0.327	0.117	0	0.119	0.407	144.978	185566
"5"	"Turkey"	0.825	0.593	-6.401	0.0988	0.688	0.000161	0.17	0.54	98.078	209754
"6"	"Turkey"	0.54	0.418	-15.57	0.0761	0.19	0.685	0.198	0.189	91.042	199958
"7"	"Turkey"	0.81	0.582	-6.527	0.0654	0.111	3e-04	0.116	0.31	109.983	194381
"8"	"Turkey"	0.69	0.562	-8.272	0.0728	0.499	0.531	0.141	0.652	159.986	196000
"9"	"Turkey"	0.881	0.75	-6.341	0.2	0.413	0	0.0974	0.461	101.035	194586
"10"	"Turkey"	0.53	0.723	-7.012	0.158	0.186	0	0.1	0.537	75.717	175960
"11"	"Turkey"	0.793	0.603	-7.314	0.088	0.187	0.00182	0.0756	0.566	140.074	170114
"12"	"Turkey"	0.893	0.63	-5.769	0.159	0.254	0	0.116	0.434	123.029	191504
"13"	"Turkey"	0.745	0.515	-9.197	0.506	0.331	0	0.0987	0.496	151.844	195789
"14"	"Turkey"	0.668	0.638	-5.341	0.047	0.125	0.00027	0.133	0.507	159.979	281330
"15"	"Turkey"	0.651	0.776	-6.334	0.0378	0.103	0	0.149	0.317	126.951	310279
"16"	"Turkey"	0.533	0.541	-7.854	0.0252	0.217	4.39e-06	0.11	0.335	144.135	197967
"17"	"Turkey"	0.769	0.556	-5.375	0.082	0.115	0.000294	0.117	0.607	149.972	194772
"18"	"Turkey"	0.582	0.643	-8.26	0.0388	0.122	0.000493	0.109	0.349	180.033	244307
"19"	"Turkey"	0.777	0.445	-9.798	0.231	0.514	0.00552	0.27	0.456	148.02	264205
"20"	"Turkey"	0.759	0.548	-6.049	0.029	0.0392	0	0.0828	0.749	116.967	190799
"21"	"Turkey"	0.701	0.425	-10.965	0.375	0.328	0.13	0.1	0.562	135.128	194087
"22"	"Turkey"	0.703	0.931	-3.191	0.0507	0.0934	0	0.342	0.642	90.017	260789
"23"	"Turkey"	0.699	0.624	-5.63	0.0374	0.184	0	0.0782	0.325	142.924	295962
"24"	"Turkey"	0.355	0.682	-8.802	0.147	0.529	0.129	0.123	0.463	170.636	234597
"25"	"Turkey"	0.649	0.844	-5.349	0.0687	0.482	0.000307	0.16	0.928	165.951	183457
